# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 1.384, 103.795 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Singapore, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Singapore", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "1.3837583715703898", "lon": "103.7954430643515", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 08:00,0.119,0.022,0.131,26.232
2019-01-01 01:00,2019-01-01 09:00,0.267,0.070,0.256,26.940
2019-01-01 02:00,2019-01-01 10:00,0.387,0.124,0.353,27.718
2019-01-01 03:00,2019-01-01 11:00,0.417,0.111,0.407,28.306
2019-01-01 04:00,2019-01-01 12:00,0.423,0.096,0.431,28.721
2019-01-01 05:00,2019-01-01 13:00,0.406,0.082,0.423,28.972
2019-01-01 06:00,2019-01-01 14:00,0.347,0.056,0.374,29.066
2019-01-01 07:00,2019-01-01 15:00,0.310,0.054,0.329,29.246
2019-01-01 08:00,2019-01-01 16:00,0.254,0.053,0.262,29.435
2019-01-01 09:00,2019-01-01 17:00,0.146,0.029,0.158,29.187
2019-01-01 10:00,2019-01-01 18:00,0.028,0.006,0.042,28.308
2019-01-01 11:00,2019-01-01 19:00,0,0,0,27.544
2019-01-01 12:00,2019-01-01 20:00,0,0,0,27.230
2019-01-01 13:00,2019-01-01 21:00,0,0,0,26.915
2019-01-01 14:00,2019-01-01 22:00,0,0,0,26.611
2019-01-01 15:00,2019-01-01 23:00,0,0,0,26.335
2019-01-01 16:00,2019-01-02 00:00,0,0,0,26.087
2019-01-01 17:00,2019-01-02 01:00,0,0,0,25.874
2019-01-01 18:00,2019-01-02 02:00,0,0,0,25.665
2019-01-01 19:00,2019-01-02 03:00,0,0,0,25.495
2019-01-01 20:00,2019-01-02 04:00,0,0,0,25.410
2019-01-01 21:00,2019-01-02 05:00,0,0,0,25.424
2019-01-01 22:00,2019-01-02 06:00,0,0,0,25.464
2019-01-01 23:00,2019-01-02 07:00,0.017,0.005,0.027,25.711
2019-01-02 00:00,2019-01-02 08:00,0.122,0.024,0.133,26.506
2019-01-02 01:00,2019-01-02 09:00,0.233,0.047,0.239,27.246
2019-01-02 02:00,2019-01-02 10:00,0.352,0.092,0.341,27.905
2019-01-02 03:00,2019-01-02 11:00,0.433,0.128,0.411,28.507
2019-01-02 04:00,2019-01-02 12:00,0.481,0.157,0.449,29.048
2019-01-02 05:00,2019-01-02 13:00,0.482,0.156,0.452,29.398
2019-01-02 06:00,2019-01-02 14:00,0.433,0.124,0.419,29.540
2019-01-02 07:00,2019-01-02 15:00,0.357,0.090,0.354,29.558
2019-01-02 08:00,2019-01-02 16:00,0.260,0.058,0.264,29.491
2019-01-02 09:00,2019-01-02 17:00,0.132,0.023,0.148,29.059
2019-01-02 10:00,2019-01-02 18:00,0.027,0.005,0.041,28.278
2019-01-02 11:00,2019-01-02 19:00,0,0,0,27.574
2019-01-02 12:00,2019-01-02 20:00,0,0,0,27.390
2019-01-02 13:00,2019-01-02 21:00,0,0,0,27.267
2019-01-02 14:00,2019-01-02 22:00,0,0,0,27.184
2019-01-02 15:00,2019-01-02 23:00,0,0,0,27.070
2019-01-02 16:00,2019-01-03 00:00,0,0,0,26.935
2019-01-02 17:00,2019-01-03 01:00,0,0,0,26.821
2019-01-02 18:00,2019-01-03 02:00,0,0,0,26.694
2019-01-02 19:00,2019-01-03 03:00,0,0,0,26.568
2019-01-02 20:00,2019-01-03 04:00,0,0,0,26.493
2019-01-02 21:00,2019-01-03 05:00,0,0,0,26.422
2019-01-02 22:00,2019-01-03 06:00,0,0,0,26.345
2019-01-02 23:00,2019-01-03 07:00,0.019,0.006,0.029,26.497
2019-01-03 00:00,2019-01-03 08:00,0.131,0.032,0.136,27.145
2019-01-03 01:00,2019-01-03 09:00,0.277,0.089,0.252,27.755
2019-01-03 02:00,2019-01-03 10:00,0.428,0.192,0.340,28.350
2019-01-03 03:00,2019-01-03 11:00,0.525,0.274,0.393,28.875
2019-01-03 04:00,2019-01-03 12:00,0.586,0.343,0.413,29.341
2019-01-03 05:00,2019-01-03 13:00,0.592,0.351,0.415,29.650
2019-01-03 06:00,2019-01-03 14:00,0.539,0.289,0.400,29.747
2019-01-03 07:00,2019-01-03 15:00,0.474,0.251,0.347,29.715
2019-01-03 08:00,2019-01-03 16:00,0.362,0.176,0.274,29.532
2019-01-03 09:00,2019-01-03 17:00,0.193,0.069,0.173,29.133
2019-01-03 10:00,2019-01-03 18:00,0.047,0.017,0.054,28.429
