Generator,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,generation_blend_share,p_nom_max_cfe,technology,annual_fixed_costs,total_capital_cost,min_utilisation_rate,is_blend_or_ccs,max_utilisation_rate
TWN-Coal-2024active_exo,TWN,PQ,coal-unspecified,9720.0,0.0,False,9720.0,inf,0.5,1.0,0.0,-inf,inf,0.0,1.0,Coal,74.91,0.0,True,2024,40.0,0.0,0.35,False,0.0,0.0,0.0,0,0,1,0,0.6,0.6,1.0,1.0,1.0,0.0,0.0,,coal-unspecified,0.0,0.0,,False,0.67
TWN-Coal-2030_exo,TWN,PQ,coal-unspecified,0.0,0.0,False,0.0,inf,0.5,1.0,0.0,-inf,inf,0.0,1.0,Coal,74.91,0.0,True,2030,40.0,0.0,0.35,False,0.0,0.0,0.0,0,0,1,0,0.6,0.6,1.0,1.0,1.0,0.0,0.0,,coal-unspecified,0.0,0.0,,False,0.67
TWN-LNG-2024active_exo,TWN,PQ,gas-unspecified,20696.0,0.0,False,20696.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,LNG,69.14,0.0,True,2024,40.0,0.0,0.52,False,0.0,0.0,0.0,0,0,1,0,0.7,0.85,1.0,1.0,1.0,0.0,0.0,,gas-unspecified,0.0,0.0,,False,0.66
TWN-LNG-2030_endo,TWN,PQ,gas-unspecified,0.0,0.0,True,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,LNG,61.28,0.0,True,2030,40.0,168837.0,0.59,False,0.0,0.0,0.0,0,0,1,0,0.7,0.85,1.0,1.0,1.0,0.0,0.0,,gas-unspecified,76835.99,1526071.0,,False,0.66
TWN-LNG-2030_exo,TWN,PQ,gas-unspecified,20918.6,0.0,False,20918.6,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,LNG,61.28,0.0,True,2030,40.0,168837.0,0.59,False,0.0,0.0,0.0,0,0,1,0,0.7,0.85,1.0,1.0,1.0,0.0,0.0,,gas-unspecified,76835.99,1526071.0,,False,0.66
TWN-Oil-2024active_exo,TWN,PQ,oil-unspecified,312.0,0.0,False,312.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Oil,180.62,0.0,True,2024,30.0,0.0,0.32,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,oil-unspecified,0.0,0.0,0.22,False,
TWN-Oil-2030_exo,TWN,PQ,oil-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Oil,180.62,0.0,True,2030,30.0,0.0,0.32,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,oil-unspecified,0.0,0.0,0.22,False,
TWN-Nuclear-2024active_exo,TWN,PQ,nuclear-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Nuclear,11.98,0.0,True,2024,40.0,0.0,0.35,False,0.0,0.0,0.0,0,0,1,0,0.3,0.3,1.0,1.0,1.0,0.0,0.0,,nuclear-unspecified,0.0,0.0,,False,
TWN-Nuclear-2030_exo,TWN,PQ,nuclear-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Nuclear,11.98,0.0,True,2030,40.0,0.0,0.35,False,0.0,0.0,0.0,0,0,1,0,0.3,0.3,1.0,1.0,1.0,0.0,0.0,,nuclear-unspecified,0.0,0.0,,False,
TWN-Hydro-2024active_exo,TWN,PQ,hydro-unspecified,2122.4,0.0,False,2122.4,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Hydro,0.0,0.0,True,2024,40.0,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,hydro-unspecified,0.0,0.0,,False,
TWN-Hydro-2030_exo,TWN,PQ,hydro-unspecified,17.0,0.0,False,17.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Hydro,0.0,0.0,True,2030,40.0,396921.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,hydro-unspecified,77744.17,5294352.0,,False,
TWN-Biomass-2024active_exo,TWN,PQ,biomass-unspecified,61.0,0.0,False,61.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Biomass,225.22,0.0,True,2024,40.0,0.0,0.17,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,biomass-unspecified,0.0,0.0,0.36,False,
TWN-Biomass-2030_endo,TWN,PQ,biomass-unspecified,0.0,0.0,True,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Biomass,156.42,0.0,True,2030,40.0,848790.0,0.17,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,biomass-unspecified,639859.18,3465636.0,0.36,False,
TWN-Biomass-2030_exo,TWN,PQ,biomass-unspecified,743.548,0.0,False,743.548,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Biomass,156.42,0.0,True,2030,40.0,848790.0,0.17,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,biomass-unspecified,639859.18,3465636.0,0.36,False,
TWN-Geothermal-2024active_exo,TWN,PQ,geothermal-unspecified,7.2,0.0,False,7.2,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Geothermal,0.0,0.0,True,2024,40.0,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,geothermal-unspecified,0.0,0.0,,False,0.32
