Generator,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,technology,min_utilisation_rate,max_utilisation_rate,generation_blend_share,annual_fixed_costs,is_blend_or_ccs,total_capital_cost
bio-power-bagasse-INDEA-agricultural-waste-solids-exo-2023,INDEA,PQ,biomass,463.0,0.0,False,463.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,agricultural-waste-solids,1.0,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,463.0,biomass,,,,14264.28,,713214.15
bio-power-bagasse-INDNE-agricultural-waste-solids-exo-2023,INDNE,PQ,biomass,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,agricultural-waste-solids,1.0,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,biomass,,,,14264.28,,713214.15
bio-power-bagasse-INDNO-agricultural-waste-solids-exo-2023,INDNO,PQ,biomass,2600.0,0.0,False,2600.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,agricultural-waste-solids,1.0,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2600.0,biomass,,,,14264.28,,713214.15
bio-power-bagasse-INDSO-agricultural-waste-solids-exo-2023,INDSO,PQ,biomass,3372.0,0.0,False,3372.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,agricultural-waste-solids,1.0,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,3372.0,biomass,,,,14264.28,,713214.15
bio-power-bagasse-INDWE-agricultural-waste-solids-exo-2023,INDWE,PQ,biomass,2998.0,0.0,False,2998.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,agricultural-waste-solids,1.0,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2998.0,biomass,,,,14264.28,,713214.15
bio-power-non-bagasse-INDEA-bioenergy-exo-2023,INDEA,PQ,biomass,98.0,0.0,False,98.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,bioenergy,31.12,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,98.0,biomass,,,,14264.28,,713214.15
bio-power-non-bagasse-INDNE-bioenergy-exo-2023,INDNE,PQ,biomass,16.0,0.0,False,16.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,bioenergy,31.12,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,16.0,biomass,,,,14264.28,,713214.15
bio-power-non-bagasse-INDNO-bioenergy-exo-2023,INDNO,PQ,biomass,580.0,0.0,False,580.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,bioenergy,31.12,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,580.0,biomass,,,,14264.28,,713214.15
bio-power-non-bagasse-INDSO-bioenergy-exo-2023,INDSO,PQ,biomass,183.0,0.0,False,183.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,bioenergy,31.12,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,183.0,biomass,,,,14264.28,,713214.15
bio-power-non-bagasse-INDWE-bioenergy-exo-2023,INDWE,PQ,biomass,46.0,0.0,False,46.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,bioenergy,31.12,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,46.0,biomass,,,,14264.28,,713214.15
bio-power-waste-to-energy-INDEA-waste-exo-2023,INDEA,PQ,waste,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,waste,31.12,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,waste,,,,14264.28,,713214.15
bio-power-waste-to-energy-INDNE-waste-exo-2023,INDNE,PQ,waste,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,waste,31.12,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,waste,,,,14264.28,,713214.15
bio-power-waste-to-energy-INDNO-waste-exo-2023,INDNO,PQ,waste,106.0,0.0,False,106.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,waste,31.12,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,106.0,waste,,,,14264.28,,713214.15
bio-power-waste-to-energy-INDSO-waste-exo-2023,INDSO,PQ,waste,106.0,0.0,False,106.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,waste,31.12,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,106.0,waste,,,,14264.28,,713214.15
bio-power-waste-to-energy-INDWE-waste-exo-2023,INDWE,PQ,waste,37.0,0.0,False,37.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,waste,31.12,0.0,True,2023,20.0,98038.0,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,37.0,waste,,,,14264.28,,713214.15
solar-groundmounted-INDEA-solar-exo-2023,INDEA,PQ,photovoltaic-unspecified,700.0,0.0,False,700.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.1,0.0,True,2023,28.0,63920.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,700.0,photovoltaic-unspecified,,,,4697.39,,551160.83
solar-groundmounted-INDNE-solar-exo-2023,INDNE,PQ,photovoltaic-unspecified,134.0,0.0,False,134.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.1,0.0,True,2023,28.0,63920.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,134.0,photovoltaic-unspecified,,,,4697.39,,551160.83
solar-groundmounted-INDNO-solar-exo-2023,INDNO,PQ,photovoltaic-unspecified,21507.0,0.0,False,21507.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.1,0.0,True,2023,28.0,63920.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,21507.0,photovoltaic-unspecified,,,,4697.39,,551160.83
solar-groundmounted-INDSO-solar-exo-2023,INDSO,PQ,photovoltaic-unspecified,24477.0,0.0,False,24477.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.1,0.0,True,2023,28.0,63920.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,24477.0,photovoltaic-unspecified,,,,4697.39,,551160.83
solar-groundmounted-INDWE-solar-exo-2023,INDWE,PQ,photovoltaic-unspecified,17598.0,0.0,False,17598.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.1,0.0,True,2023,28.0,63920.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,17598.0,photovoltaic-unspecified,,,,4697.39,,551160.83
solar-hybrid-solar-INDEA-solar-exo-2023,INDEA,PQ,photovoltaic-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.1,0.0,True,2023,28.0,63920.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,photovoltaic-unspecified,,,,4697.39,,551160.83
solar-hybrid-solar-INDNO-solar-exo-2023,INDNO,PQ,photovoltaic-unspecified,1980.0,0.0,False,1980.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.1,0.0,True,2023,28.0,63920.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,1980.0,photovoltaic-unspecified,,,,4697.39,,551160.83
solar-hybrid-solar-INDSO-solar-exo-2023,INDSO,PQ,photovoltaic-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.1,0.0,True,2023,28.0,63920.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,photovoltaic-unspecified,,,,4697.39,,551160.83
solar-hybrid-solar-INDWE-solar-exo-2023,INDWE,PQ,photovoltaic-unspecified,591.0,0.0,False,591.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.1,0.0,True,2023,28.0,63920.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,591.0,photovoltaic-unspecified,,,,4697.39,,551160.83
solar-roof-top-INDEA-solar-exo-2023,INDEA,PQ,photovoltaic-unspecified,284.0,0.0,False,284.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.1,0.0,True,2023,28.0,63920.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,284.0,photovoltaic-unspecified,,,,4697.39,,551160.83
solar-roof-top-INDNE-solar-exo-2023,INDNE,PQ,photovoltaic-unspecified,60.0,0.0,False,60.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.1,0.0,True,2023,28.0,63920.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,60.0,photovoltaic-unspecified,,,,4697.39,,551160.83
solar-roof-top-INDNO-solar-exo-2023,INDNO,PQ,photovoltaic-unspecified,2992.0,0.0,False,2992.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.1,0.0,True,2023,28.0,63920.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2992.0,photovoltaic-unspecified,,,,4697.39,,551160.83
solar-roof-top-INDSO-solar-exo-2023,INDSO,PQ,photovoltaic-unspecified,2509.0,0.0,False,2509.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.1,0.0,True,2023,28.0,63920.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2509.0,photovoltaic-unspecified,,,,4697.39,,551160.83
solar-roof-top-INDWE-solar-exo-2023,INDWE,PQ,photovoltaic-unspecified,6024.0,0.0,False,6024.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,solar,0.1,0.0,True,2023,28.0,63920.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,6024.0,photovoltaic-unspecified,,,,4697.39,,551160.83
wind-INDEA-wind-exo-2023,INDEA,PQ,wind-onshore,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,wind,0.1,0.0,True,2023,30.0,109098.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,wind-onshore,,,,9606.35,,937903.91
wind-INDNE-wind-exo-2023,INDNE,PQ,wind-onshore,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,wind,0.1,0.0,True,2023,30.0,109098.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,0.0,wind-onshore,,,,9606.35,,937903.91
wind-INDNO-wind-exo-2023,INDNO,PQ,wind-onshore,5196.0,0.0,False,5196.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,wind,0.1,0.0,True,2023,30.0,109098.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,5196.0,wind-onshore,,,,9606.35,,937903.91
wind-INDSO-wind-exo-2023,INDSO,PQ,wind-onshore,20911.0,0.0,False,20911.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,wind,0.1,0.0,True,2023,30.0,109098.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,20911.0,wind-onshore,,,,9606.35,,937903.91
wind-INDWE-wind-exo-2023,INDWE,PQ,wind-onshore,19775.0,0.0,False,19775.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,wind,0.1,0.0,True,2023,30.0,109098.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,19775.0,wind-onshore,,,,9606.35,,937903.91
circulating-fluidized-bed-INDSO-coal-exo-2023,INDSO,PQ,circulating-fluidized-bed,500.0,0.0,False,500.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,coal,32.93,0.0,True,2023,25.0,182598.0,0.36,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,500.0,circulating-fluidized-bed,,,,38210.54,,1310610.33
circulating-fluidized-bed-INDWE-coal-exo-2023,INDWE,PQ,circulating-fluidized-bed,500.0,0.0,False,500.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,coal,32.93,0.0,True,2023,25.0,182598.0,0.36,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,500.0,circulating-fluidized-bed,,,,38210.54,,1310610.33
coal-unspecified-INDEA-coal-exo-2023,INDEA,PQ,coal-unspecified,495.0,0.0,False,495.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,coal,32.93,0.0,True,2023,25.0,182598.0,0.36,False,0.0,0.0,0.0,0,0,1,0,0.6,0.6,1.0,1.0,1.0,495.0,coal-unspecified,,,,38210.54,,1310610.33
coal-unspecified-INDSO-coal-exo-2023,INDSO,PQ,coal-unspecified,2525.0,0.0,False,2525.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,coal,32.93,0.0,True,2023,25.0,182598.0,0.36,False,0.0,0.0,0.0,0,0,1,0,0.6,0.6,1.0,1.0,1.0,2525.0,coal-unspecified,,,,38210.54,,1310610.33
coal-unspecified-INDWE-coal-exo-2023,INDWE,PQ,coal-unspecified,1600.0,0.0,False,1600.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,coal,32.93,0.0,True,2023,25.0,182598.0,0.36,False,0.0,0.0,0.0,0,0,1,0,0.6,0.6,1.0,1.0,1.0,1600.0,coal-unspecified,,,,38210.54,,1310610.33
combined-cycle-INDNE-gas-exo-2023,INDNE,PQ,combined-cycle,1415.0,0.0,False,1415.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,gas,88.04,0.0,True,2023,25.0,95791.0,0.56,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,1415.0,combined-cycle,,,,41202.22,,495506.29
