StorageUnit,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,q_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,active,build_year,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,efficiency_store,efficiency_dispatch,standing_loss,inflow,p_nom_opt,annual_fixed_costs,total_capital_cost
hydro-pumped-storage-INDEA-water-2023,INDEA,PQ,hydro-pumped-storage,900.0,0.0,False,900.0,inf,-1.0,1.0,0.0,0.0,1.0,pumped-hydro,0.0,0.0,0.0,0.0,69754.54499868033,True,2023,40.0,0.0,False,,False,True,8.0,1.0,0.95,0.01,0.0,900.0,13703.22,548128.75
hydro-pumped-storage-INDSO-water-2023,INDSO,PQ,hydro-pumped-storage,2106.0,0.0,False,2106.0,inf,-1.0,1.0,0.0,0.0,1.0,pumped-hydro,0.0,0.0,0.0,0.0,69754.54499868033,True,2023,40.0,0.0,False,,False,True,8.0,1.0,0.95,0.01,0.0,2106.0,13703.22,548128.75
hydro-pumped-storage-INDWE-water-2023,INDWE,PQ,hydro-pumped-storage,1840.0,0.0,False,1840.0,inf,-1.0,1.0,0.0,0.0,1.0,pumped-hydro,0.0,0.0,0.0,0.0,69754.54499868033,True,2023,40.0,0.0,False,,False,True,8.0,1.0,0.95,0.01,0.0,1840.0,13703.22,548128.75
hydro-pumped-storage-INDEA-water-2030,INDEA,PQ,hydro-pumped-storage,0.0,0.0,False,0.0,inf,-1.0,1.0,0.0,0.0,1.0,pumped-hydro,0.0,0.0,0.0,0.0,69222.0033209044,True,2030,40.0,0.0,False,,False,True,8.0,1.0,0.95,0.01,0.0,0.0,13598.59,543944.18
hydro-pumped-storage-INDSO-water-2030,INDSO,PQ,hydro-pumped-storage,0.0,0.0,False,0.0,inf,-1.0,1.0,0.0,0.0,1.0,pumped-hydro,0.0,0.0,0.0,0.0,69222.0033209044,True,2030,40.0,0.0,False,,False,True,8.0,1.0,0.95,0.01,0.0,0.0,13598.59,543944.18
hydro-pumped-storage-INDWE-water-2030,INDWE,PQ,hydro-pumped-storage,0.0,0.0,False,0.0,inf,-1.0,1.0,0.0,0.0,1.0,pumped-hydro,0.0,0.0,0.0,0.0,69222.0033209044,True,2030,40.0,0.0,False,,False,True,8.0,1.0,0.95,0.01,0.0,0.0,13598.59,543944.18
hydro-pumped-storage-INDNE-water-2030,INDNE,PQ,hydro-pumped-storage,0.0,0.0,False,0.0,inf,-1.0,1.0,0.0,0.0,1.0,pumped-hydro,0.0,0.0,0.0,0.0,69222.0033209044,True,2030,40.0,0.0,False,,False,True,8.0,1.0,0.95,0.01,0.0,0.0,13598.59,543944.18
hydro-pumped-storage-INDNO-water-2030,INDNO,PQ,hydro-pumped-storage,0.0,0.0,False,0.0,inf,-1.0,1.0,0.0,0.0,1.0,pumped-hydro,0.0,0.0,0.0,0.0,69222.0033209044,True,2030,40.0,0.0,False,,False,True,8.0,1.0,0.95,0.01,0.0,0.0,13598.59,543944.18
battery-storage-INDEA-battery-2030,INDEA,PQ,battery-storage,0.0,0.0,False,0.0,inf,-1.0,1.0,0.0,0.0,1.0,battery,0.0,0.0,0.0,0.0,72691.75670911591,True,2030,20.0,0.0,False,,False,True,4.0,1.0,0.95,0.01,0.0,0.0,7777.56,552651.15
battery-storage-INDNE-battery-2030,INDNE,PQ,battery-storage,0.0,0.0,False,0.0,inf,-1.0,1.0,0.0,0.0,1.0,battery,0.0,0.0,0.0,0.0,72691.75670911591,True,2030,20.0,0.0,False,,False,True,4.0,1.0,0.95,0.01,0.0,0.0,7777.56,552651.15
battery-storage-INDNO-battery-2030,INDNO,PQ,battery-storage,22999.999999999985,0.0,False,0.0,inf,-1.0,1.0,0.0,0.0,1.0,battery,0.0,0.0,0.0,0.0,72691.75670911591,True,2030,20.0,0.0,False,,False,True,4.0,1.0,0.95,0.01,0.0,22999.999999999985,7777.56,552651.15
battery-storage-INDSO-battery-2030,INDSO,PQ,battery-storage,19999.999999999993,0.0,False,0.0,inf,-1.0,1.0,0.0,0.0,1.0,battery,0.0,0.0,0.0,0.0,72691.75670911591,True,2030,20.0,0.0,False,,False,True,4.0,1.0,0.95,0.01,0.0,19999.999999999993,7777.56,552651.15
